"id","url","accessed_at","status","note"
"pma","https://www.philamuseum.org/main-building","2026-09-22 01:16:36 UTC","HTML saved; review terms and extraction",""
"pafa","https://www.pafa.org/museum/visit","2026-09-22 01:16:36 UTC","HTML saved; review terms and extraction",""
"woodmere","https://woodmeremuseum.org/visit","2026-09-22 01:16:36 UTC","HTML saved; review terms and extraction",""
"seaport","https://www.phillyseaport.org/admissons-hours-of-operation/","2026-09-22 01:16:39 UTC","HTML saved; review terms and extraction",""
"met","https://www.metmuseum.org/plan-your-visit","2026-09-22 01:16:42 UTC","excluded_or_failed","Too Many Requests (RFC 6585) (HTTP 429)."
"moma","https://www.moma.org/visit/","2026-09-22 01:16:44 UTC","excluded_or_failed","Forbidden (HTTP 403)."
"whitney","https://whitney.org/visit","2026-09-22 01:16:46 UTC","HTML saved; review terms and extraction",""
"guggenheim","https://www.guggenheim.org/plan-your-visit","2026-09-22 01:16:49 UTC","HTML saved; review terms and extraction",""
"mfa","https://www.mfa.org/visit","2026-09-22 01:16:51 UTC","HTML saved; review terms and extraction",""
"gardner","https://www.gardnermuseum.org/visit/admissions","2026-09-22 01:16:53 UTC","HTML saved; review terms and extraction",""
"harvard","https://harvardartmuseums.org/visit","2026-09-22 01:16:56 UTC","HTML saved; review terms and extraction",""
"mca","https://mcachicago.org/visit/","2026-09-22 01:16:58 UTC","HTML saved; review terms and extraction",""
"artic","https://www.artic.edu/visit","2026-09-22 01:17:01 UTC","HTML saved; review terms and extraction",""
"smart","https://smartmuseum.uchicago.edu/visit/","2026-09-22 01:17:04 UTC","HTML saved; review terms and extraction",""
"nga","https://www.nga.gov/visit.html","2026-09-22 01:17:07 UTC","excluded_or_failed","Forbidden (HTTP 403)."
"phillips","https://www.phillipscollection.org/visit","2026-09-22 01:17:09 UTC","HTML saved; review terms and extraction",""
"saam","https://americanart.si.edu/visit","2026-09-22 01:17:12 UTC","HTML saved; review terms and extraction",""
"sfmoma","https://www.sfmoma.org/visit/","2026-09-22 01:17:14 UTC","HTML saved; review terms and extraction",""
"deyoung","https://www.famsf.org/visit/de-young","2026-09-22 01:17:16 UTC","excluded_or_failed","robots blanket exclusion; skipped"
"asian","https://asianart.org/visit/","2026-09-22 01:17:17 UTC","excluded_or_failed","Not Found (HTTP 404)."
"getty","https://www.getty.edu/visit/center/","2026-09-22 01:17:21 UTC","HTML saved; review terms and extraction",""
"hammer","https://hammer.ucla.edu/visit","2026-09-22 01:17:24 UTC","HTML saved; review terms and extraction",""
"lacma","https://www.lacma.org/visit","2026-09-22 01:17:26 UTC","HTML saved; review terms and extraction",""
"mfah","https://www.mfah.org/visit","2026-09-22 01:17:29 UTC","excluded_or_failed","robots access forbidden; skipped"
"menil","https://www.menil.org/visit","2026-09-22 01:17:29 UTC","excluded_or_failed","robots blanket exclusion; skipped"
"camh","https://camh.org/visit/","2026-09-22 01:17:29 UTC","HTML saved; review terms and extraction",""
"morgan","https://www.themorgan.org/visit","2026-09-22 01:21:07 UTC","excluded_or_failed","robots access forbidden; skipped"
"frick","https://www.frick.org/visit","2026-09-22 01:21:07 UTC","HTML saved; review terms and extraction",""
"broad","https://www.thebroad.org/visit","2026-09-22 01:21:10 UTC","HTML saved; review terms and extraction",""
"icaboston","https://www.icaboston.org/visit/","2026-09-22 01:21:13 UTC","HTML saved; review terms and extraction",""
"saamdetail","https://americanart.si.edu/visit/saam","2026-09-22 01:24:47 UTC","HTML saved; review terms and extraction",""
