id,original_page_sha256,evidence_sha256,evidence_type
pma,ad0cd79f7c0c5081c3c1b09d924b7b2e1f6f942cb99304cce7d83f3efd981953,06a2e6ea029c99bc2b6de90624d29008e1e0c1b035c8b9b7022a8b5c329405b3,Exact short matched text in a new HTML wrapper; not original page HTML
pafa,51ca62970ef5891fd77bcf91c4bb599eceb7ee9c4b4e51ac4c1bc555feca8410,34fd0bcbf2850cc0ddcb127fdcffacf547054a9d4b508dc897145a29ffd63c87,Exact short matched text in a new HTML wrapper; not original page HTML
woodmere,4a637e4267ebc2947745851ed1e118f19dc745317f3ed0a73763100553afd984,2ef8cd8af95d43d860955c73f7e92b91057dda6dfaca70e050cda379c7802d83,Exact short matched text in a new HTML wrapper; not original page HTML
seaport,8209e93f9af84f5b858ea8e458eff48230fe3d6fb6a121408869b32b46adaa08,55a74c600acfbc24a5a752353133dae304766677c6957f8644be2acc6a909d15,Exact short matched text in a new HTML wrapper; not original page HTML
whitney,6123f9e85b86e73b05d15a8bdc2a8d281ab64d3ebadb6e8726bc53b7bbdc52b4,2d86e63e1e08ccd2e7b87905496c3a6f77d27e1aee3782ae39d9081b7d4546d6,Exact short matched text in a new HTML wrapper; not original page HTML
gardner,ef5d87519080f3ba9ce49c66ddad724255a4ad7665be7b2392f02750cbe956bc,f26bdba1c85f7aef95d891f1dd87e764649ea17151d6de44d0f2b070523d4f23,Exact short matched text in a new HTML wrapper; not original page HTML
harvard,9d801ef2440b06a08e098eb6460cf4350ea2580198e5504a1b20a29369a9b379,75d80cde7f9d153e7f0c31b6237404815613b2f5949ab1f446372486419225db,Exact short matched text in a new HTML wrapper; not original page HTML
mca,054d6f183c1076427f028384716093b8d764c02c098132bc39895170cd7d50be,a5041ae747392b066b556390f08f6563a4ccd4f64aebec422d9ba632bece30b7,Exact short matched text in a new HTML wrapper; not original page HTML
artic,214f675d15604b3b0d299ebf2c66d716a823a625b535dbf1d4f149e860fccccf,66d2691935ac090236ab48e8267624156a078cfbc20fc8e075c4132f16a6b8a7,Exact short matched text in a new HTML wrapper; not original page HTML
smart,e479d43fe00361051457a25be2708ebb7ff3caea30366f3c749e3e1de4ecefbb,0317226870ec5e4af72387043a7b50a85bdd8590a9e2688ce68a305cb46fd210,Exact short matched text in a new HTML wrapper; not original page HTML
phillips,eb9f6be187efc1cf5ee5fda3c8f55c14061b940335b23d769726158f3a99a8ab,a19873ee00abe3344018a5ac083054d42bee4debb6c0575cc03724e2e9a25386,Exact short matched text in a new HTML wrapper; not original page HTML
saamdetail,98afa3e5f08d48373c57041ab202f246152170c9964396a73920c3206116ff7c,e50b9c2ef786af13d184e50d6c3a0c7764e7c4c774d6a567ffb58d2493e0af83,Exact short matched text in a new HTML wrapper; not original page HTML
sfmoma,c5f55117c6483e811ea1a98c63425549c67c3a6eb05e02b68d68e4bc3309dd88,bff761ee58ee316a8b37b978c10b0118e5b53c93d27269ad6db32cb780d660df,Exact short matched text in a new HTML wrapper; not original page HTML
getty,6042e4f2a0b6d23e6e9767fbbfd7c15b8270d4c5bd884e3d88a2a779791d66b5,f0d1fd2b05903436942c6c27fc40b1c39c8f05b0da6578948a0370fd548dee79,Exact short matched text in a new HTML wrapper; not original page HTML
hammer,34d73d7de0236cadedc9a454829861251963e1c823a577abca867f46c9213e7b,b721835a4a52cde51a0919f49e1af81b34fa054b246ea181d07293066a7b3127,Exact short matched text in a new HTML wrapper; not original page HTML
camh,760efe655aa1eb60f89820238110c1762ca97b98d42150d2be910e34bd2de9ca,a79aa2d25ad1bd238dc4f3119b169e4d613129cbafd303e61b8d3e7fb161fb8e,Exact short matched text in a new HTML wrapper; not original page HTML
frick,b6649732080fad655c6120906a59a89cdf64c8567d04807c6d9467124a31fed0,9b20e21e3004c828b440ef1e5ed84a57f7e3485a287386732fa1196966e4e6ec,Exact short matched text in a new HTML wrapper; not original page HTML
icaboston,0aebd2998797add94e681ee97906226fc2623a07045e0c2861c0d21bdf6d2a9a,458c80aa88a54c69549b1f868ac7747dc1bdf611e032499bef2faaca147c4e3f,Exact short matched text in a new HTML wrapper; not original page HTML
